bairro,sg,srag,obitos
Alto Barroca,114,2,0
Alto Caiçaras,190,11,0
Alto dos Pinheiros,62,4,1
Alto Vera Cruz,225,40,9
Álvaro Camargos,33,1,0
Ambrosina,7,0,0
Anchieta,353,15,6
Andiroba,8,1,1
Antônio Ribeiro de Abreu,4,0,0
Aparecida,170,17,2
Aparecida Sétima Seção,80,6,2
Ápia,4,2,1
Apolônia,61,2,0
Araguaia,326,15,4
Átila de Paiva,20,1,0
Bairro das Indústrias I,149,4,0
Bairro das Indústrias II,38,4,2
Bairro Novo das Indústrias,82,5,0
Baleia,4,0,0
Bandeirantes,166,3,2
Barão Homem de Melo I,1,0,0
Barão Homem de Melo III,6,0,0
Barão Homem de Melo IV,17,0,0
Barreiro,297,13,3
Barro Preto,259,10,5
Barroca,76,5,4
Beija Flor,28,6,1
Beira-Linha,32,8,1
Bela Vitória,11,0,0
Belém,3,3,1
Belmonte,37,3,2
Belvedere,338,9,6
Bernadete,18,0,0
Betânia,286,13,3
Biquinhas,23,4,1
Bispo de Maura,7,0,0
Boa Esperança,3,1,0
Boa União I,1,0,0
Boa União II,4,1,0
Boa Viagem,123,10,3
Boa Vista,395,37,3
Bom Jesus,61,6,2
Bonfim,102,5,1
Bonsucesso,131,6,2
Brasil Industrial,140,9,1
Braúnas,28,3,1
Buritis,1250,26,4
Cabana do Pai Tomás,173,21,7
Cachoeirinha,210,15,7
Caetano Furquim,6,0,0
Caiçara-Adelaide,240,17,7
Caiçaras,334,10,3
Calafate,196,4,1
Califórnia,162,14,5
Camargos,420,14,3
Campo Alegre,55,5,3
Camponesa I,2,0,0
Campus UFMG,1,0,0
Canaã,20,1,0
Canadá,10,0,0
Candelária,220,4,1
Capitão Eduardo,15,1,1
Cardoso,232,7,1
Carlos Prates,416,23,1
Carmo,110,0,0
Casa Branca,111,16,2
Castanheira,109,7,1
Castelo,789,22,4
CDI Jatobá,20,1,1
Cenáculo,59,3,1
Centro,557,23,5
Céu Azul,439,11,2
Chácara Leonina,4,0,0
Cidade Jardim,73,2,1
Cidade Jardim Taquaril,2,0,0
Cidade Nova,339,13,2
Cinqüentenário,178,5,0
Colégio Batista,245,16,1
Comiteco,71,1,1
Concórdia,208,14,3
Cônego Pinheiro,8,0,0
Cônego Pinheiro A,1,0,0
Confisco,49,6,3
Conjunto Bonsucesso,17,2,1
Conjunto Califórnia I,104,3,0
Conjunto Califórnia II,41,2,1
Conjunto Capitão Eduardo,47,3,0
Conjunto Celso Machado,65,2,0
Conjunto Floramar,15,0,0
Conjunto Jardim Filadélfia,77,5,0
Conjunto Jatobá,37,5,1
Conjunto Lagoa,14,1,0
Conjunto Minascaixa,51,1,0
Conjunto Novo Dom Bosco,11,2,0
Conjunto Paulo VI,32,3,1
Conjunto Providência,5,0,0
Conjunto Santa Maria,8,1,1
Conjunto São Francisco de Assi,11,0,0
